maintenance_id,machine_id,timestamp,maintenance_type,duration_min
WO000000,M17A,2026-04-16 08:10:00,PM,67.9
WO000001,M24B,2026-02-01 23:10:00,PM,31.5
WO000002,M03A,2026-03-17 03:34:00,PM,117.4
WO000003,M20A,2026-07-31 09:17:00,calibration,47.7
WO000004,M03A,2026-05-10 18:44:00,corrective,95.2
WO000005,M21B,2026-05-11 02:07:00,calibration,103.7
WO000006,M21B,2026-08-25 07:07:00,calibration,15.6
WO000007,M27B,2026-01-06 18:48:00,PM,83.7
WO000008,M03B,2026-03-31 15:59:00,corrective,26.0
WO000009,M26A,2026-06-19 00:06:00,inspection,119.2
WO000010,M09A,2026-02-15 05:45:00,PM,111.5
WO000011,M11B,2026-05-14 00:47:00,PM,53.4
WO000012,M22A,2026-04-11 12:00:00,inspection,20.7
WO000013,M12B,2026-10-04 10:25:00,PM,36.7
WO000014,M14A,2026-06-27 04:00:00,PM,25.2
WO000015,M22B,2026-08-16 05:56:00,PM,51.9
WO000016,M20A,2026-08-23 06:00:00,calibration,39.9
WO000017,M26B,2026-01-10 03:18:00,calibration,39.9
WO000018,M17A,2026-10-14 08:40:00,PM,53.5
WO000019,M05B,2026-07-07 20:37:00,PM,13.0
WO000020,M07A,2026-01-24 18:10:00,corrective,15.2
WO000021,M19B,2026-01-05 22:00:00,PM,63.7
WO000022,M18B,2026-10-18 20:48:00,calibration,64.6
WO000023,M02A,2026-02-18 11:11:00,PM,63.8
WO000024,M14B,2026-06-05 14:14:00,calibration,40.3
WO000025,M23A,2026-08-03 11:28:00,PM,32.0
WO000026,M05A,2026-02-23 00:22:00,calibration,20.4
WO000027,M18A,2026-02-20 00:50:00,calibration,38.1
WO000028,M03A,2026-03-20 17:49:00,calibration,110.5
WO000029,M05B,2026-01-13 13:30:00,PM,33.9
WO000030,M21B,2026-01-12 10:33:00,PM,97.6
WO000031,M15A,2026-02-21 10:26:00,inspection,100.1
WO000032,M01B,2026-06-06 18:37:00,PM,65.5
WO000033,M15A,2026-10-03 00:08:00,PM,40.4
WO000034,M04B,2026-10-07 14:56:00,PM,23.7
WO000035,M16A,2026-02-15 02:09:00,PM,104.9
WO000036,M22B,2026-07-03 00:30:00,calibration,25.9
WO000037,M12A,2026-04-24 17:30:00,calibration,165.6
WO000038,M19A,2026-03-17 18:30:00,inspection,23.5
WO000039,M13B,2026-04-29 17:41:00,PM,38.9
WO000040,M03B,2026-03-04 08:17:00,inspection,53.4
WO000041,M05A,2026-01-19 19:20:00,inspection,8.7
WO000042,M10A,2026-09-23 01:44:00,PM,194.5
WO000043,M13B,2026-04-08 03:39:00,corrective,59.7
WO000044,M12B,2026-07-26 13:51:00,inspection,5.0
WO000045,M10B,2026-05-10 10:38:00,calibration,156.1
WO000046,M05A,2026-05-02 16:17:00,PM,117.6
WO000047,M12A,2026-02-25 09:21:00,inspection,51.3
WO000048,M24A,2026-02-16 15:29:00,PM,70.5
WO000049,M07A,2026-08-08 07:27:00,inspection,20.4
WO000050,M04B,2026-08-25 02:11:00,PM,33.4
WO000051,M15A,2026-04-23 13:31:00,corrective,30.9
WO000052,M26B,2026-09-08 07:52:00,inspection,12.1
WO000053,M18B,2026-03-07 19:41:00,corrective,17.5
WO000054,M11A,2026-09-25 06:29:00,corrective,48.1
WO000055,M16A,2026-01-11 04:20:00,calibration,26.9
WO000056,M16A,2026-02-18 06:21:00,PM,35.0
WO000057,M06B,2026-02-02 18:16:00,PM,66.2
WO000058,M18A,2026-02-08 21:26:00,PM,9.0
WO000059,M18A,2026-06-26 04:48:00,PM,74.6
WO000060,M08A,2026-01-26 06:00:00,inspection,80.5
WO000061,M17A,2026-02-15 13:17:00,PM,159.5
WO000062,M07A,2026-05-20 13:15:00,inspection,99.9
WO000063,M22A,2026-02-21 14:38:00,corrective,42.2
WO000064,M27B,2026-02-26 12:52:00,corrective,53.3
WO000065,M17B,2026-08-05 05:45:00,inspection,95.2
WO000066,M11B,2026-05-10 01:43:00,PM,34.6
WO000067,M17A,2026-09-11 10:39:00,calibration,76.1
WO000068,M27B,2026-06-24 01:41:00,PM,17.4
WO000069,M09B,2026-07-02 04:11:00,PM,53.0
WO000070,M16A,2026-04-03 23:26:00,PM,16.0
WO000071,M07A,2026-01-19 06:40:00,PM,140.6
WO000072,M01A,2026-06-14 07:55:00,inspection,28.0
WO000073,M21A,2026-02-08 10:06:00,PM,63.2
WO000074,M09A,2026-10-26 13:15:00,calibration,137.5
WO000075,M21B,2026-10-16 15:05:00,inspection,22.0
WO000076,M10A,2026-06-09 21:55:00,inspection,141.5
WO000077,M18B,2026-07-05 08:32:00,calibration,59.6
WO000078,M07B,2026-05-13 07:03:00,corrective,7.5
WO000079,M27B,2026-05-22 05:49:00,calibration,70.5
WO000080,M26A,2026-07-26 12:00:00,inspection,78.8
WO000081,M02A,2026-04-25 00:19:00,PM,8.1
WO000082,M07A,2026-07-06 22:02:00,PM,23.7
WO000083,M09A,2026-08-24 10:04:00,corrective,46.2
WO000084,M18A,2026-03-25 23:27:00,PM,12.6
WO000085,M23B,2026-04-08 07:02:00,PM,21.7
WO000086,M11A,2026-07-31 05:51:00,inspection,26.7
WO000087,M19B,2026-06-30 20:01:00,corrective,56.9
WO000088,M17B,2026-05-22 13:17:00,corrective,93.4
WO000089,M14A,2026-09-19 11:56:00,PM,29.6
WO000090,M22B,2026-06-01 11:01:00,PM,29.5
WO000091,M18B,2026-06-09 02:49:00,corrective,23.1
WO000092,M23A,2026-09-07 07:48:00,calibration,48.9
WO000093,M06B,2026-10-02 09:51:00,calibration,19.4
WO000094,M13B,2026-06-11 14:52:00,calibration,39.6
WO000095,M16A,2026-01-02 22:20:00,PM,78.6
WO000096,M19A,2026-06-05 21:59:00,corrective,7.4
WO000097,M14A,2026-09-01 02:34:00,PM,93.9
WO000098,M07B,2026-03-24 14:23:00,PM,68.8
WO000099,M09B,2026-09-27 22:39:00,inspection,90.6
WO000100,M02B,2026-03-22 03:29:00,inspection,22.9
WO000101,M14B,2026-05-04 08:33:00,PM,36.2
WO000102,M04B,2026-01-15 21:41:00,calibration,119.8
WO000103,M28A,2026-04-10 19:08:00,corrective,22.5
WO000104,M18B,2026-05-01 06:03:00,calibration,48.0
WO000105,M25B,2026-04-19 21:31:00,corrective,133.3
WO000106,M26A,2026-07-13 14:50:00,inspection,17.1
WO000107,M26A,2026-09-22 08:18:00,PM,51.0
WO000108,M28A,2026-05-12 14:59:00,PM,217.9
WO000109,M19B,2026-07-09 06:56:00,corrective,63.2
WO000110,M23A,2026-07-04 02:38:00,corrective,58.1
WO000111,M12B,2026-05-16 10:42:00,corrective,57.5
WO000112,M12A,2026-05-28 22:46:00,PM,8.7
WO000113,M09A,2026-03-09 12:14:00,PM,16.2
WO000114,M13A,2026-09-06 08:17:00,PM,21.4
WO000115,M19B,2026-01-23 05:40:00,PM,25.8
WO000116,M24B,2026-09-06 05:40:00,PM,97.4
WO000117,M28B,2026-03-24 09:45:00,calibration,41.3
WO000118,M06A,2026-04-27 20:23:00,inspection,10.1
WO000119,M20B,2026-01-03 10:59:00,PM,64.5
WO000120,M08B,2026-09-26 08:34:00,PM,15.7
WO000121,M01A,2026-07-22 15:39:00,corrective,20.8
WO000122,M19B,2026-09-26 08:46:00,PM,67.4
WO000123,M03A,2026-07-09 03:42:00,corrective,72.8
WO000124,M23A,2026-04-02 16:32:00,PM,54.7
WO000125,M15B,2026-04-25 04:28:00,corrective,54.6
WO000126,M25B,2026-05-18 13:20:00,corrective,85.0
WO000127,M09B,2026-08-13 14:25:00,PM,56.8
WO000128,M28A,2026-04-07 02:16:00,PM,33.5
WO000129,M26B,2026-03-28 18:00:00,inspection,67.5
WO000130,M06A,2026-01-15 22:28:00,PM,105.4
WO000131,M05B,2026-10-02 23:47:00,calibration,32.0
WO000132,M08A,2026-09-10 15:55:00,PM,56.4
WO000133,M12A,2026-09-13 20:36:00,inspection,33.8
WO000134,M11B,2026-08-14 16:33:00,PM,48.7
WO000135,M28B,2026-06-17 16:13:00,PM,135.5
WO000136,M03A,2026-07-15 16:50:00,inspection,21.9
WO000137,M21A,2026-05-07 20:56:00,corrective,6.7
WO000138,M27A,2026-06-14 00:07:00,corrective,69.7
WO000139,M07A,2026-05-20 11:27:00,inspection,45.5
WO000140,M10B,2026-02-03 16:02:00,corrective,35.8
WO000141,M01B,2026-08-07 06:14:00,PM,58.3
WO000142,M16B,2026-04-13 08:12:00,corrective,160.6
WO000143,M12A,2026-03-24 16:45:00,corrective,31.4
WO000144,M02A,2026-01-11 01:36:00,PM,70.1
WO000145,M04A,2026-09-23 04:06:00,PM,34.0
WO000146,M18B,2026-03-28 04:21:00,PM,53.2
WO000147,M15B,2026-09-15 17:15:00,PM,42.3
WO000148,M11A,2026-05-20 09:38:00,corrective,79.1
WO000149,M16A,2026-01-01 05:53:00,PM,31.2
WO000150,M11A,2026-02-01 20:56:00,PM,179.8
WO000151,M05B,2026-09-26 08:42:00,inspection,41.7
WO000152,M25B,2026-09-10 19:28:00,inspection,26.9
WO000153,M11A,2026-01-14 12:32:00,calibration,29.8
WO000154,M26B,2026-07-18 12:44:00,PM,5.0
WO000155,M20B,2026-09-30 22:43:00,PM,52.4
WO000156,M10B,2026-10-07 00:09:00,PM,64.5
WO000157,M07A,2026-08-28 08:44:00,corrective,72.1
WO000158,M02A,2026-03-23 04:39:00,inspection,104.2
WO000159,M20B,2026-10-06 06:36:00,PM,30.8
WO000160,M08A,2026-06-11 22:50:00,PM,5.9
WO000161,M11A,2026-09-25 15:16:00,corrective,60.2
