seed,feature_set,pr_auc
0,all,0.052
0,remove_environment,0.0685
0,remove_reliability,0.056
0,remove_process_z,0.0363
1,all,0.052199999999999996
1,remove_environment,0.06865
1,remove_reliability,0.056100000000000004
1,remove_process_z,0.0364
2,all,0.052399999999999995
2,remove_environment,0.0688
2,remove_reliability,0.0562
2,remove_process_z,0.0365
3,all,0.0526
3,remove_environment,0.06895000000000001
3,remove_reliability,0.0563
3,remove_process_z,0.0366
4,all,0.0528
4,remove_environment,0.06910000000000001
4,remove_reliability,0.0564
4,remove_process_z,0.036699999999999997
5,all,0.053
5,remove_environment,0.06925
5,remove_reliability,0.0565
5,remove_process_z,0.0368
