machine_id,mtbf_h,mttr_min,weibull_beta_censored,availability,crow_amsaa_beta,weibull_eta_h,right_censored_tail
M01A,81,43,2.3000000000000003,0.95,1.23,1560,1
M01B,81,43,2.3000000000000003,0.95,1.23,1560,1
M02A,82,44,2.4000000000000004,0.96,1.3099999999999998,1670,1
M02B,82,44,2.4000000000000004,0.96,1.3099999999999998,1670,1
M03A,83,45,2.5,0.97,1.39,1780,1
M03B,83,45,2.5,0.97,1.39,1780,1
M04A,84,46,2.6,0.94,1.47,1890,1
M04B,84,46,2.6,0.94,1.47,1890,1
M05A,85,47,2.2,0.95,1.5499999999999998,2000,1
M05B,85,47,2.2,0.95,1.5499999999999998,2000,1
M06A,86,48,2.3000000000000003,0.96,1.15,2110,1
M06B,86,48,2.3000000000000003,0.96,1.15,2110,1
M07A,87,42,2.4000000000000004,0.97,1.23,2220,1
M07B,87,42,2.4000000000000004,0.97,1.23,2220,1
M08A,88,43,2.5,0.94,1.3099999999999998,1450,1
M08B,88,43,2.5,0.94,1.3099999999999998,1450,1
M09A,80,44,2.6,0.95,1.39,1560,1
M09B,80,44,2.6,0.95,1.39,1560,1
M10A,81,45,2.2,0.96,1.47,1670,1
M10B,81,45,2.2,0.96,1.47,1670,1
M11A,82,46,2.3000000000000003,0.97,1.5499999999999998,1780,1
M11B,82,46,2.3000000000000003,0.97,1.5499999999999998,1780,1
M12A,83,47,2.4000000000000004,0.94,1.15,1890,1
M12B,83,47,2.4000000000000004,0.94,1.15,1890,1
M13A,84,48,2.5,0.95,1.23,2000,1
M13B,84,48,2.5,0.95,1.23,2000,1
M14A,85,42,2.6,0.96,1.3099999999999998,2110,1
M14B,85,42,2.6,0.96,1.3099999999999998,2110,1
M15A,86,43,2.2,0.97,1.39,2220,1
M15B,86,43,2.2,0.97,1.39,2220,1
M16A,87,44,2.3000000000000003,0.94,1.47,1450,1
M16B,87,44,2.3000000000000003,0.94,1.47,1450,1
M17A,88,45,2.4000000000000004,0.95,1.5499999999999998,1560,1
M17B,88,45,2.4000000000000004,0.95,1.5499999999999998,1560,1
M18A,80,46,2.5,0.96,1.15,1670,1
M18B,80,46,2.5,0.96,1.15,1670,1
M19A,81,47,2.6,0.97,1.23,1780,1
M19B,81,47,2.6,0.97,1.23,1780,1
M20A,82,48,2.2,0.94,1.3099999999999998,1890,1
M20B,82,48,2.2,0.94,1.3099999999999998,1890,1
M21A,83,42,2.3000000000000003,0.95,1.39,2000,1
M21B,83,42,2.3000000000000003,0.95,1.39,2000,1
M22A,84,43,2.4000000000000004,0.96,1.47,2110,1
M22B,84,43,2.4000000000000004,0.96,1.47,2110,1
M23A,85,44,2.5,0.97,1.5499999999999998,2220,1
M23B,85,44,2.5,0.97,1.5499999999999998,2220,1
M24A,86,45,2.6,0.94,1.15,1450,1
M24B,86,45,2.6,0.94,1.15,1450,1
M25A,87,46,2.2,0.95,1.23,1560,1
M25B,87,46,2.2,0.95,1.23,1560,1
M26A,88,47,2.3000000000000003,0.96,1.3099999999999998,1670,1
M26B,88,47,2.3000000000000003,0.96,1.3099999999999998,1670,1
M27A,80,48,2.4000000000000004,0.97,1.39,1780,1
M27B,80,48,2.4000000000000004,0.97,1.39,1780,1
M28A,81,42,2.5,0.94,1.47,1890,1
M28B,81,42,2.5,0.94,1.47,1890,1
